Cod_setor,lider_masculino,lider_feminino,porcentagem_lideres_femininos
250070005000020,117,136,53.75494071146245
250070005000021,117,50,29.94011976047904
250070015000001,41,13,24.074074074074073
250070015000002,104,82,44.086021505376344
250070015000003,199,50,20.080321285140563
250070015000004,70,13,15.66265060240964
250070015000005,186,27,12.676056338028168
250070015000006,94,14,12.962962962962962
250070015000007,222,38,14.615384615384617
250073405000001,111,96,46.3768115942029
250073405000002,127,35,21.604938271604937
250073405000003,101,33,24.62686567164179
250073405000004,78,55,41.35338345864661
250077505000001,106,119,52.888888888888886
250077505000002,127,200,61.16207951070336
250077505000003,234,66,22
250077505000004,104,146,58.4
250077505000005,83,64,43.53741496598639
250077505000006,157,17,9.770114942528735
250077505000007,74,54,42.1875
250077505000008,156,83,34.72803347280335
250077505000009,171,93,35.22727272727273
250077505000010,42,54,56.25
250077505000011,27,30,52.63157894736842
250080905000001,173,142,45.07936507936508
250080905000002,161,109,40.370370370370374
250080905000003,172,145,45.74132492113564
250080905000004,181,124,40.65573770491803
250080905000005,206,104,33.5483870967742
250080905000006,170,92,35.11450381679389
250080905000007,60,19,24.050632911392405
250080905000008,72,13,15.294117647058824
250080905000009,31,12,27.906976744186046
250080905000010,36,7,16.27906976744186
250080905000011,75,19,20.212765957446805
250080905000012,135,16,10.596026490066226
250080905000013,124,31,20
250080905000014,133,32,19.393939393939394
250080905000015,59,28,32.18390804597701
250080905000016,145,23,13.690476190476192
250080905000017,122,69,36.12565445026178
250080905000018,73,19,20.652173913043477
250080905000019,50,6,10.714285714285714
250080905000020,64,18,21.951219512195124
250080905000021,55,10,15.384615384615385
250080905000022,73,14,16.091954022988507
250080905000023,31,7,18.421052631578945
250080905000024,152,29,16.022099447513813
250080905000025,27,9,25
250080905000026,94,33,25.984251968503933
250080905000027,100,19,15.966386554621847
250080905000028,56,28,33.33333333333333
250080905000029,25,28,52.83018867924528
250080905000030,10,15,60
250080905000031,58,5,7.936507936507936
250080905000032,108,27,20
250080905000033,92,8,8
250080905000034,85,36,29.75206611570248
250080905000035,4,1,20
250080905000036,162,91,35.96837944664031
250080905000037,146,80,35.39823008849557
250080905000038,7,9,56.25
250090805000001,118,134,53.17460317460318
250090805000002,114,90,44.11764705882353
250090805000003,164,149,47.6038338658147
250090805000004,142,158,52.666666666666664
250090805000005,70,76,52.054794520547944
250090805000006,94,73,43.712574850299404
250090805000007,164,97,37.16475095785441
250090805000008,70,72,50.70422535211267
250090805000009,123,100,44.843049327354265
250090805000010,112,23,17.037037037037038
250090805000011,131,57,30.319148936170215
250090805000012,105,23,17.96875
250090805000013,81,26,24.299065420560748
250090805000014,107,28,20.74074074074074
250090805000015,204,120,37.03703703703704
250090805000016,98,105,51.724137931034484
250090805000017,120,120,50
250090805000018,146,103,41.365461847389554
250090805000019,105,89,45.876288659793815
250100505000001,180,104,36.61971830985916
250100505000002,194,133,40.67278287461774
250100505000003,126,48,27.586206896551722
250100505000004,108,89,45.17766497461929
250100505000005,171,97,36.19402985074627
250100505000006,136,71,34.29951690821256
250100505000007,170,113,39.92932862190813
250100505000008,79,124,61.083743842364534
250100505000009,83,18,17.82178217821782
250100505000010,66,29,30.526315789473685
250100505000011,101,22,17.88617886178862
250100505000012,125,38,23.31288343558282
250100505000013,123,30,19.607843137254903
250100505000014,277,117,29.695431472081218
250100505000015,53,33,38.372093023255815
250100505000016,79,13,14.130434782608695
250100505000017,148,29,16.38418079096045
250100505000018,241,65,21.241830065359476
250100505000019,69,7,9.210526315789473
250100505000020,254,83,24.629080118694365
250100505000021,66,10,13.157894736842104
250100505000022,47,6,11.320754716981133
250100505000023,78,19,19.587628865979383
250100505000024,79,123,60.89108910891089
250100505000025,164,128,43.83561643835616
250100505000026,63,149,70.28301886792453
250100505000027,169,75,30.737704918032787
250110405000001,71,46,39.31623931623932
250110405000002,95,77,44.76744186046512
250110405000003,101,99,49.5
250110405000004,118,51,30.17751479289941
250110405000005,105,104,49.760765550239235
250110405000006,91,78,46.15384615384615
250110405000007,145,137,48.58156028368794
250110405000008,107,123,53.47826086956522
250110405000009,126,101,44.49339207048458
250110405000010,102,41,28.671328671328673
250110405000011,77,34,30.630630630630627
250110405000012,98,11,10.091743119266056
250110405000013,69,100,59.171597633136095
250110405000014,20,31,60.78431372549019
250110405000015,34,4,10.526315789473683
250110405000016,49,5,9.25925925925926
250110405000017,32,5,13.513513513513514
250110405000018,27,5,15.625
250110405000019,93,11,10.576923076923077
250110405000020,104,10,8.771929824561402
250110405000021,53,21,28.37837837837838
250110405000022,13,3,18.75
250110405000023,98,82,45.55555555555556
250110405000024,85,58,40.55944055944056
250110405000025,38,66,63.46153846153846
250110405000026,112,45,28.662420382165603
250110405000027,149,94,38.68312757201646
250110405000028,134,100,42.73504273504273
250110405000029,87,67,43.506493506493506
250110405000030,100,97,49.23857868020304
250110405000031,104,81,43.78378378378379
250110410000001,113,69,37.91208791208791
250110410000002,92,41,30.82706766917293
250110410000003,22,11,33.33333333333333
250110410000004,103,27,20.76923076923077
250110410000005,56,24,30
250110415000001,172,107,38.35125448028674
250110415000002,161,42,20.689655172413794
250110415000003,83,16,16.161616161616163
250110415000004,19,18,48.64864864864865
250110415000005,17,6,26.08695652173913
250110420000001,48,25,34.24657534246575
250110420000002,31,24,43.63636363636363
250110420000003,79,40,33.61344537815126
250110420000004,46,132,74.15730337078652
250110420000005,11,10,47.61904761904761
250110420000006,54,28,34.146341463414636
250110420000007,79,48,37.79527559055118
250110420000008,35,32,47.76119402985074
250115305000001,201,66,24.719101123595504
250115305000002,64,20,23.809523809523807
250115305000003,25,14,35.8974358974359
250115305000004,42,15,26.31578947368421
250115305000005,36,5,12.195121951219512
250120305000001,119,213,64.1566265060241
250120305000002,112,72,39.130434782608695
250120305000003,105,218,67.49226006191951
250120305000004,191,165,46.348314606741575
250120305000005,43,68,61.261261261261254
250120305000006,1,5,83.33333333333334
250120305000007,48,48,50
250120305000008,219,78,26.262626262626267
250120305000009,178,68,27.64227642276423
250130205000001,174,111,38.94736842105263
250130205000002,155,65,29.545454545454547
250130205000003,127,86,40.375586854460096
250130205000004,37,150,80.21390374331551
250130205000005,70,100,58.82352941176471
250130205000006,74,161,68.51063829787233
250130205000007,108,55,33.74233128834356
250130205000008,154,73,32.158590308370044
250130205000009,49,22,30.985915492957744
250130205000010,24,6,20
250130205000011,81,32,28.31858407079646
250130205000012,129,50,27.932960893854748
250130205000013,90,22,19.642857142857142
250130205000014,166,68,29.059829059829063
250130205000015,114,48,29.629629629629626
250130205000016,146,44,23.157894736842106
250130205000017,153,41,21.1340206185567
250130205000018,147,25,14.534883720930234
250130205000019,41,56,57.73195876288659
250130205000020,59,23,28.04878048780488
250130205000021,103,23,18.253968253968253
250130205000022,53,26,32.91139240506329
250130205000023,88,24,21.428571428571427
250130205000024,134,51,27.56756756756757
250130205000025,135,63,31.818181818181817
250130205000026,156,61,28.110599078341014
250130205000027,172,120,41.0958904109589
250130205000028,36,12,25
250130220000001,150,40,21.052631578947366
250130220000002,108,63,36.84210526315789
250130220000003,95,56,37.086092715231786
250130220000004,0,0,NaN
250130220000005,0,0,NaN
250130220000006,122,102,45.535714285714285
250135105000001,99,176,64
250135105000002,141,90,38.961038961038966
250135105000003,50,5,9.090909090909092
250135105000004,106,11,9.401709401709402
250135105000005,178,61,25.523012552301257
250135105000006,68,57,45.6
250140105000001,82,46,35.9375
250140105000002,101,98,49.246231155778894
250140105000003,107,49,31.41025641025641
250140105000004,161,95,37.109375
250140105000005,84,47,35.87786259541985
250140105000006,23,24,51.06382978723404
250140105000007,145,60,29.268292682926827
250140105000008,60,128,68.08510638297872
250140105000009,45,91,66.91176470588235
250140105000010,36,9,20
250140105000011,36,10,21.73913043478261
250140105000012,37,8,17.77777777777778
250140105000013,30,8,21.052631578947366
250140105000014,179,112,38.48797250859107
250140105000015,10,3,23.076923076923077
250140105000016,13,9,40.909090909090914
250140105000017,65,32,32.98969072164948
250140105000018,8,14,63.63636363636363
250140105000019,8,11,57.89473684210527
250140105000020,5,7,58.333333333333336
250150005000001,139,152,52.23367697594502
250150005000002,71,131,64.85148514851485
250150005000003,159,77,32.6271186440678
250150005000004,136,113,45.38152610441767
250150005000005,100,101,50.24875621890548
250150005000006,174,112,39.16083916083916
250150005000007,15,2,11.76470588235294
250150005000008,60,110,64.70588235294117
250150005000009,137,35,20.348837209302324
250150005000010,164,36,18
250150005000011,126,172,57.71812080536913
250150005000012,0,0,NaN
250150005000013,33,2,5.714285714285714
250150005000014,26,9,25.71428571428571
250150005000015,99,26,20.8
250150005000016,25,10,28.57142857142857
250150005000017,119,192,61.7363344051447
250150005000018,49,33,40.243902439024396
250150005000019,93,40,30.075187969924812
250150005000020,130,39,23.076923076923077
250150005000021,0,0,NaN
250150010000001,174,52,23.008849557522122
250150010000002,93,32,25.6
250150010000003,133,23,14.743589743589745
250150010000004,142,21,12.883435582822086
250150010000005,76,51,40.15748031496063
250150010000006,73,11,13.095238095238097
250150010000007,90,13,12.62135922330097
250150010000008,26,20,43.47826086956522
250150010000009,79,36,31.30434782608696
250150010000010,192,55,22.267206477732792
250150010000011,60,14,18.91891891891892
250150020000001,171,58,25.327510917030565
250150020000002,44,25,36.231884057971016
250150020000003,90,20,18.181818181818183
250150020000004,82,17,17.17171717171717
250150020000005,14,13,48.148148148148145
250150020000006,226,55,19.572953736654807
250150020000007,64,12,15.789473684210526
250150020000008,116,17,12.781954887218044
250150020000009,93,27,22.5
250150020000010,41,17,29.310344827586203
250153405000001,128,119,48.178137651821864
250153405000002,96,107,52.70935960591133
250153405000003,72,129,64.17910447761194
250153405000004,56,35,38.46153846153847
250153405000005,189,148,43.916913946587535
250153405000006,121,100,45.248868778280546
250157505000001,139,106,43.26530612244898
250157505000002,138,43,23.756906077348066
250157505000003,138,33,19.298245614035086
250157505000004,147,54,26.865671641791046
250157505000005,64,39,37.86407766990291
250157505000006,103,23,18.253968253968253
250157505000007,94,29,23.577235772357724
250157505000008,167,50,23.04147465437788
250157505000009,93,23,19.82758620689655
250157505000010,91,23,20.175438596491226
250157505000011,150,32,17.582417582417584
250157505000012,85,67,44.07894736842105
250157505000013,102,61,37.423312883435585
250157505000014,111,43,27.92207792207792
250157505000015,0,0,NaN
250157505000016,34,23,40.35087719298245
250157505000017,50,21,29.577464788732392
250157505000018,0,0,NaN
250160905000001,126,77,37.93103448275862
250160905000002,43,90,67.66917293233082
250160905000003,70,111,61.32596685082873
250160905000004,145,101,41.05691056910569
250160905000005,120,68,36.17021276595745
250160905000006,87,55,38.732394366197184
250160905000007,84,180,68.18181818181817
250160905000008,36,148,80.43478260869566
250160905000009,75,63,45.65217391304348
250160905000010,207,80,27.874564459930312
250160905000011,202,96,32.21476510067114
250160905000012,83,113,57.6530612244898
250160905000013,84,14,14.285714285714285
250160905000014,175,49,21.875
250160905000015,131,12,8.391608391608392
250160905000016,159,25,13.586956521739129
250160905000017,61,6,8.955223880597014
250160905000018,25,7,21.875
250160905000019,126,81,39.130434782608695
250160905000020,90,60,40
250160905000021,33,33,50
250160905000022,105,74,41.340782122905026
250160905000023,101,92,47.66839378238342
250160905000024,42,45,51.724137931034484
250160905000025,67,34,33.663366336633665
250170805000001,103,47,31.333333333333336
250170805000002,108,56,34.146341463414636
250170805000003,97,25,20.491803278688526
250170805000004,100,23,18.69918699186992
250170805000005,117,24,17.02127659574468
250170805000006,209,54,20.53231939163498
250170805000007,51,3,5.555555555555555
250170805000008,112,86,43.43434343434344
250170805000009,120,49,28.994082840236686
250170805000010,188,61,24.497991967871485
250180705000001,44,21,32.30769230769231
250180705000002,189,93,32.97872340425532
250180705000003,92,91,49.72677595628415
250180705000004,151,75,33.1858407079646
250180705000005,103,110,51.64319248826291
250180705000006,143,148,50.85910652920962
250180705000007,114,106,48.18181818181818
250180705000008,87,63,42
250180705000009,164,86,34.4
250180705000010,200,107,34.85342019543974
250180705000011,110,105,48.837209302325576
250180705000012,243,176,42.004773269689736
250180705000013,213,157,42.432432432432435
250180705000014,129,112,46.47302904564315
250180705000015,204,118,36.64596273291926
250180705000016,152,88,36.666666666666664
250180705000017,185,119,39.14473684210527
250180705000018,198,118,37.34177215189873
250180705000019,193,119,38.141025641025635
250180705000020,84,66,44
250180705000021,85,116,57.711442786069654
250180705000022,225,129,36.440677966101696
250180705000023,128,104,44.827586206896555
250180705000024,159,130,44.982698961937714
250180705000025,192,148,43.529411764705884
250180705000026,101,159,61.15384615384616
250180705000027,122,104,46.017699115044245
250180705000028,219,139,38.8268156424581
250180705000029,175,105,37.5
250180705000030,218,108,33.12883435582822
250180705000031,191,142,42.64264264264264
250180705000032,202,101,33.33333333333333
250180705000033,147,85,36.637931034482754
250180705000034,215,158,42.35924932975871
250180705000035,121,58,32.402234636871505
250180705000036,188,114,37.74834437086093
250180705000037,40,31,43.66197183098591
250180705000038,76,110,59.13978494623656
250180705000039,103,99,49.00990099009901
250180705000040,53,46,46.464646464646464
250180705000041,186,132,41.509433962264154
250180705000042,141,96,40.50632911392405
250180705000043,65,113,63.48314606741573
250180705000044,99,113,53.301886792452834
250180705000045,167,85,33.730158730158735
250180705000046,68,180,72.58064516129032
250180705000047,83,211,71.7687074829932
250180705000048,46,16,25.806451612903224
250180705000049,263,87,24.857142857142858
250180705000050,156,51,24.637681159420293
250180705000051,162,71,30.472103004291846
250180705000052,126,68,35.051546391752574
250180705000053,190,82,30.14705882352941
250180705000054,120,88,42.30769230769231
250180705000055,104,131,55.74468085106383
250180705000056,142,117,45.173745173745175
250180705000057,95,71,42.77108433734939
250180705000058,146,127,46.52014652014652
250180705000059,168,133,44.18604651162791
250180705000060,143,112,43.92156862745098
250180705000061,99,188,65.50522648083623
250180705000062,161,118,42.29390681003584
250180705000063,121,48,28.402366863905325
250180705000065,114,72,38.70967741935484
250180705000066,67,148,68.83720930232559
250180705000067,113,80,41.45077720207254
250180705000068,173,128,42.524916943521596
250180705000069,141,89,38.69565217391304
250180705000070,207,122,37.08206686930091
250180705000071,158,158,50
250180705000072,155,96,38.24701195219124
250180705000073,105,88,45.59585492227979
250180705000074,119,128,51.821862348178136
250180705000075,58,78,57.35294117647059
250180705000076,59,27,31.3953488372093
250180705000077,109,53,32.71604938271605
250180705000078,133,57,30
250180705000079,105,128,54.93562231759657
250180705000080,102,76,42.69662921348314
250180705000081,6,5,45.45454545454545
250180705000082,85,63,42.567567567567565
250180705000083,3,4,57.14285714285714
250180705000085,65,143,68.75
250180705000086,47,31,39.743589743589745
250180705000087,18,37,67.27272727272727
250180705000088,32,129,80.12422360248446
250180705000089,129,98,43.17180616740088
250180705000091,99,77,43.75
250180705000092,164,85,34.13654618473896
250180705000094,113,67,37.22222222222222
250180705000095,88,29,24.786324786324787
250180705000096,39,87,69.04761904761905
250180705000097,66,29,30.526315789473685
250180705000098,189,77,28.947368421052634
250180705000099,53,141,72.68041237113401
250180705000100,100,61,37.88819875776397
250180705000101,144,83,36.56387665198238
250180705000102,160,86,34.959349593495936
250180705000103,116,89,43.41463414634146
250180705000104,128,52,28.888888888888886
250180705000105,45,4,8.16326530612245
250180705000106,167,32,16.08040201005025
250180705000107,229,37,13.909774436090224
250180705000108,123,38,23.60248447204969
250180705000109,107,77,41.84782608695652
250180705000110,136,67,33.004926108374384
250180705000111,98,60,37.9746835443038
250180705000112,106,82,43.61702127659575
250180705000113,47,92,66.18705035971223
250180705000114,75,66,46.808510638297875
250180705000115,125,76,37.81094527363184
250180705000116,81,76,48.40764331210191
250180705000117,91,63,40.909090909090914
250180705000118,41,46,52.87356321839081
250180705000119,151,41,21.354166666666664
250180705000120,193,127,39.6875
250180705000121,222,120,35.08771929824561
250180705000122,116,94,44.761904761904766
250180705000123,151,62,29.107981220657276
250180705000124,125,37,22.839506172839506
250180705000125,108,55,33.74233128834356
250180705000126,216,110,33.74233128834356
250180705000127,167,82,32.93172690763052
250180705000128,404,169,29.49389179755672
250180705000129,150,50,25
250180705000130,24,13,35.13513513513514
250180705000131,7,1,12.5
250180705000132,63,27,30
250180705000133,57,18,24
250180705000134,10,3,23.076923076923077
250190605000001,150,74,33.035714285714285
250190605000002,130,107,45.14767932489451
250190605000003,182,131,41.853035143769965
250190605000004,141,79,35.90909090909091
250190605000005,123,59,32.417582417582416
250190605000006,190,109,36.45484949832776
250190605000007,153,107,41.15384615384615
250190605000008,189,84,30.76923076923077
250190605000009,161,116,41.87725631768953
250190605000010,171,98,36.43122676579926
250190605000011,115,47,29.01234567901235
250190605000012,194,139,41.74174174174174
250190605000013,183,120,39.603960396039604
250190605000014,143,28,16.374269005847953
250190605000015,63,9,12.5
250190605000016,63,19,23.170731707317074
250190605000017,104,92,46.93877551020408
250190605000018,58,66,53.2258064516129
250190605000019,119,88,42.51207729468599
250190605000020,86,46,34.84848484848485
250190610000001,177,95,34.92647058823529
250190610000002,144,57,28.35820895522388
250190610000003,65,14,17.72151898734177
250190610000004,169,93,35.49618320610687
250200305000001,192,104,35.13513513513514
250200305000002,108,77,41.62162162162162
250200305000003,65,132,67.00507614213198
250200305000004,156,87,35.80246913580247
250200305000005,16,4,20
250200305000006,29,9,23.684210526315788
250200305000007,62,6,8.823529411764707
250200305000008,88,19,17.75700934579439
250200305000009,69,23,25
250200305000010,19,14,42.42424242424242
250200305000011,17,24,58.536585365853654
250200305000012,22,23,51.11111111111111
250200305000013,34,19,35.84905660377358
250200305000014,138,91,39.737991266375545
250200305000015,56,76,57.57575757575758
250200305000016,51,136,72.72727272727273
250205205000001,168,79,31.983805668016196
250205205000002,142,57,28.643216080402013
250205205000003,127,27,17.532467532467532
250205205000004,87,13,13
250205205000005,75,24,24.242424242424242
250210205000001,244,115,32.03342618384401
250210205000002,182,128,41.29032258064516
250210205000003,234,78,25
250210205000004,162,24,12.903225806451612
250210205000005,143,22,13.333333333333334
250210205000006,103,9,8.035714285714286
250210205000007,27,3,10
250210205000008,13,5,27.77777777777778
250215105000001,144,87,37.66233766233766
250215105000002,141,61,30.198019801980198
250215105000003,152,28,15.555555555555555
250215105000004,217,43,16.538461538461537
250215105000005,120,23,16.083916083916083
250215105000006,111,34,23.448275862068964
250215105000007,169,84,33.201581027667984
250215105000008,166,56,25.225225225225223
250215105000009,76,18,19.148936170212767
250220105000001,199,106,34.75409836065574
250220105000002,87,19,17.92452830188679
250220105000003,81,17,17.346938775510203
250220105000004,117,73,38.421052631578945
250230005000001,142,62,30.392156862745097
250230005000002,171,64,27.23404255319149
250230005000003,32,11,25.581395348837212
250230005000004,77,13,14.444444444444443
250230005000005,81,22,21.35922330097087
250230005000006,78,31,28.440366972477065
250230005000007,97,20,17.094017094017094
250230005000008,56,11,16.417910447761194
250230005000009,162,27,14.285714285714285
250230005000010,130,22,14.473684210526317
250230005000011,120,84,41.17647058823529
250240905000001,152,90,37.1900826446281
250240905000002,187,155,45.32163742690059
250240905000003,140,98,41.17647058823529
250240905000004,161,49,23.333333333333332
250240905000005,239,114,32.29461756373937
250240905000006,150,16,9.63855421686747
250240905000007,60,13,17.80821917808219
250240905000008,78,7,8.235294117647058
250240905000009,79,11,12.222222222222221
250240905000010,98,14,12.5
250240905000011,171,57,25
250240905000012,122,81,39.90147783251231
250240930000001,154,42,21.428571428571427
250240930000002,137,13,8.666666666666668
250240930000003,95,18,15.929203539823009
250250805000001,123,126,50.602409638554214
250250805000002,127,142,52.78810408921933
250250805000003,93,61,39.61038961038961
250250805000004,113,100,46.948356807511736
250250805000005,118,107,47.55555555555556
250250805000006,207,104,33.440514469453376
250250805000007,119,95,44.39252336448598
250250805000008,164,129,44.027303754266214
250250805000009,156,127,44.87632508833922
250250805000010,185,118,38.943894389438945
250250805000011,189,127,40.189873417721515
250250805000012,121,65,34.946236559139784
250250805000013,201,52,20.55335968379447
250250805000014,141,30,17.543859649122805
250250805000015,82,24,22.641509433962266
250250805000016,195,29,12.946428571428573
250250805000017,83,17,17
250250805000018,81,28,25.688073394495415
250250805000019,140,67,32.367149758454104
250250805000020,85,71,45.51282051282051
250250805000021,27,14,34.146341463414636
250250805000022,31,27,46.55172413793103
250250805000023,42,23,35.38461538461539
250250830000001,110,44,28.57142857142857
250250830000002,50,21,29.577464788732392
250250830000003,36,41,53.246753246753244
250250830000004,35,10,22.22222222222222
250260705000001,235,80,25.396825396825395
250260705000002,168,71,29.707112970711297
250260705000003,196,96,32.87671232876712
250260705000004,231,127,35.47486033519553
250260705000005,40,4,9.090909090909092
250260705000006,106,14,11.666666666666666
250260705000007,111,18,13.953488372093023
250260705000008,57,18,24
250260705000009,51,8,13.559322033898304
250260705000010,25,3,10.714285714285714
250260705000011,57,14,19.718309859154928
250270605000001,179,110,38.062283737024224
250270605000002,156,108,40.909090909090914
250270605000003,108,79,42.24598930481284
250270605000004,121,39,24.375
250270605000005,74,15,16.853932584269664
250270605000006,67,16,19.27710843373494
250270605000007,18,2,10
250270605000008,212,91,30.033003300330037
250280505000001,118,69,36.898395721925134
250280505000002,125,99,44.19642857142857
250280505000003,54,47,46.53465346534654
250280505000004,211,144,40.563380281690144
250280505000005,110,75,40.54054054054054
250280505000006,98,68,40.963855421686745
250280505000007,139,146,51.2280701754386
250280505000008,122,68,35.78947368421053
250280505000009,214,119,35.73573573573574
250280505000010,66,27,29.03225806451613
250280505000011,47,21,30.88235294117647
250280505000012,174,21,10.76923076923077
250280505000013,92,11,10.679611650485436
250280505000014,80,12,13.043478260869565
250280505000015,105,28,21.052631578947366
250280505000016,130,27,17.197452229299362
250280505000017,86,71,45.22292993630573
250280505000018,118,76,39.175257731958766
