area,gender,proportion
cs,male_proportion,0.7804351403309506
de,male_proportion,0.779477141530091
se,male_proportion,0.8013634289701816
th,male_proportion,0.8596251727508679
cs,female_proportion,0.21956485966904932
de,female_proportion,0.2205228584699091
se,female_proportion,0.1986365710298183
th,female_proportion,0.14037482724913203
